;Digram file created with program MakeDi by Mark Janssen
;Tabulated from the file sample.txt
4503
     0    18    13    15     0     4    12     1    12     0     3    29    12    70     2    11     0    25    50    58     8     7     1     0    11     1
     9     0     0     0     9     0     0     0     1     0     0    16     1     0    18     1     0     6     1     1     7     2     0     0     2     0
    12     1     5     1    14     0     0    14    22     0     3    11     1     0    26     1     0     5     1    14     3     0     1     0     0     0
    19     4     3     3    34     5     4     5    19     0     0     4     3     6    13     8     0     4    16    13     7     0     8     0     2     0
    35     5    19    43    21     9     6    11    15     2     0    24    28    49    22    15     1    63    59    32     4     8    32     7     4     0
     3     2     1     1     8     3     1     4     8     0     0     7     0     1    11     3     0     7     3    15     5     0     0     0     2     0
     7     1     1     0    14     0     1    24    14     0     0     4     1     5     5     1     1     5     3    11     6     0     3     0     0     0
    36     1     0     0   108     1     1     1    28     0     0     1     1     1    21     1     0     2     0    24     1     0     0     0    10     0
     6     1    37    13    11     4    18     0     0     0     7    15    13    79    20     1     1    13    41    18     1    16     0     1     0     1
     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     1     0     0     4     0     0     0     0     0
     1     0     0     0    12     1     0     1     6     1     0     1     0     4     2     0     0     0     3     1     0     0     0     0     3     0
    28     0     3    16    44     2     0     0    22     0     1    20     0     0    24     5     1     1     4     7     0     1     1     0    19     0
    20     5     0     1    26     3     0     1    14     0     1     1     3     0    12     8     0     1     8     5     2     0     3     0     1     0
    29     7     9    54    24     2    46     6    19     1     1     2     2     2    17     5     0     3    16    45     4     0     6     0     6     0
     5    16     6     8     0    34     2     3     2     1     3    19    22    48     8     9     0    55    23    17    51     3    19     0     1     0
    12     0     1     1    15     0     0    12     7     0     0     5     0     1     6     5     0    29     0     1     6     0     0     0     0     0
     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     0     6     0     0     0     0     0
    29     2     3     8    52     4     1     5    23     0    11     4     6     7    45     4     1     4    22    15     3     1     3     0     9     0
    37     5    15     3    36     4     1    21    30     0     6     6     6     3    19    10     1     4    14    69    15     0    18     1     0     0
    34     1    10     3    32     3     3   113    42     0     0     7     2     0    46     5     0    15    22    18     7     1    12     0    12     0
     3     4     7     7     5     0    11     0     3     1     0    17     9    20     0     1     0    17    15    17     0     0     0     0     1     2
     3     0     0     0    23     0     0     0    10     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0     0
    29     0     0     1    18     1     0    12    12     0     0     2     2     7    24     0     0     0     2     1     0     0     2     0     0     0
     1     0     0     1     0     0     0     1     2     0     0     0     0     0     0     4     0     0     0     0     0     0     0     0     0     0
     5     1     2     1     5     5     0     3     6     0     0     3     3     3    10     3     0     2    22     5     0     1     4     0     0     0
     0     0     0     0     2     0     0     0     0     0     0     1     0     0     0     0     0     0     0     0     0     0     0     0     1     2
